# Data for CCAM																																																																																																																																																																																																					
# y																																																																																																																																																																																																						
1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013																																																																																																																																																									
0.41	0.358	0.312	0.288	0.314	0.322	0.308	0.298	0.282	0.303	0.365	0.491	0.569	0.562	0.563	0.566	0.502	0.413	0.417	0.458	0.451	0.505	0.49	0.446	0.442	0.427	0.408	0.433	0.482	0.476	0.481	0.458	0.463	0.441	0.431	0.437	0.431	0.429	0.431	0.465	0.461	0.454	0.468	0.46	0.464	0.441																																																																																																																																																									
0.499	0.44	0.386	0.356	0.39	0.4	0.383	0.372	0.353	0.379	0.437	0.518	0.592	0.626	0.62	0.617	0.609	0.562	0.512	0.47	0.515	0.557	0.581	0.549	0.493	0.469	0.497	0.495	0.515	0.564	0.55	0.542	0.536	0.524	0.486	0.507	0.521	0.5	0.504	0.53	0.519	0.537	0.534	0.546	0.526	0.544																																																																																																																																																									
0.577	0.513	0.45	0.417	0.457	0.469	0.449	0.438	0.416	0.447	0.514	0.554	0.606	0.638	0.691	0.663	0.642	0.681	0.635	0.558	0.541	0.583	0.624	0.624	0.558	0.527	0.518	0.58	0.563	0.571	0.599	0.612	0.589	0.594	0.584	0.576	0.573	0.585	0.544	0.585	0.597	0.57	0.619	0.575	0.62	0.577																																																																																																																																																									
0.642	0.575	0.505	0.468	0.513	0.529	0.506	0.494	0.47	0.506	0.572	0.616	0.637	0.654	0.697	0.727	0.677	0.71	0.763	0.686	0.634	0.618	0.646	0.636	0.622	0.579	0.57	0.582	0.627	0.615	0.632	0.651	0.654	0.638	0.631	0.664	0.664	0.623	0.636	0.615	0.637	0.643	0.628	0.682	0.64	0.694																																																																																																																																																									
0.698	0.626	0.552	0.511	0.561	0.577	0.554	0.541	0.515	0.556	0.619	0.668	0.678	0.689	0.698	0.723	0.714	0.736	0.783	0.785	0.716	0.71	0.669	0.7	0.658	0.64	0.625	0.627	0.649	0.7	0.65	0.692	0.688	0.675	0.667	0.726	0.74	0.679	0.666	0.682	0.625	0.628	0.638	0.651	0.7	0.684																																																																																																																																																									
0.702	0.668	0.589	0.547	0.6	0.619	0.592	0.579	0.551	0.596	0.652	0.704	0.747	0.714	0.713	0.713	0.707	0.775	0.817	0.843	0.79	0.77	0.738	0.695	0.701	0.685	0.689	0.689	0.694	0.692	0.739	0.697	0.708	0.715	0.682	0.748	0.752	0.731	0.682	0.722	0.718	0.644	0.662	0.626	0.647	0.672																																																																																																																																																									
0.753	0.683	0.587	0.589	0.733	0.628	0.649	0.6	0.59	0.703	0.697	0.769	0.743	0.756	0.74	0.727	0.709	0.866	0.844	0.892	0.876	0.884	0.863	0.816	0.694	0.724	0.714	0.799	0.845	0.751	0.716	0.769	0.704	0.775	0.696	0.68	0.68	0.665	0.679	0.692	0.733	0.775	0.667	0.71	0.689	0.689																																																																																																																																																									
# propMature																																																																																																																																																																																																						
0.288	0.288	0.288	0.288	0.288	0.288	0.288	0.163	0.204	0.049	0.429	0.368	0.231	0.123	0.015	0.378	0.01	0.402	0.422	0.442	0.395	0.349	0.283	0.216	0.229	0.229	0.229	0.242	0.195	0.132	0.068	0.117	0.459	0.43	0.306	0.241	0.138	0.088	0.253	0.081	0.21	0.029	0.025	0.255	0.21	0.165																																																																																																																																																									
0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.857	0.785	0.841	0.907	0.593	0.972	0.984	0.995	0.654	0.503	0.879	0.847	0.815	0.904	0.992	0.937	0.881	0.807	0.807	0.807	0.733	0.736	0.83	0.925	0.766	0.908	0.929	0.949	0.953	0.855	0.624	0.847	0.922	0.793	0.854	0.615	0.86	0.873	0.886																																																																																																																																																									
0.705	0.705	0.705	0.705	0.705	0.705	0.705	0.995	0.981	0.998	0.992	0.785	1	1	1	0.854	0.99	0.988	0.974	0.961	0.98	1	0.998	0.995	0.977	0.977	0.977	0.959	0.97	0.985	1	0.988	0.991	0.996	0.999	0.999	0.995	0.966	0.989	0.999	0.982	0.999	0.99	0.991	0.994	0.997																																																																																																																																																									
0.853	0.853	0.853	0.853	0.853	0.853	0.853	1	0.999	1	0.999	0.902	1	1	1	0.948	1	0.999	0.996	0.993	0.996	1	1	1	0.997	0.997	0.997	0.995	0.997	0.999	1	1	0.999	1	1	1	1	0.998	0.999	1	0.999	1	1	0.999	1	1																																																																																																																																																									
0.934	0.934	0.934	0.934	0.934	0.934	0.934	1	1	1	1	0.958	1	1	1	0.983	1	1	0.999	0.999	0.999	1	1	1	1	1	1	0.999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																									
0.972	0.972	0.972	0.972	0.972	0.972	0.972	1	1	1	1	0.983	1	1	1	0.994	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																									
0.988	0.988	0.988	0.988	0.988	0.988	0.988	1	1	1	1	0.993	1	1	1	0.998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																									
0.995	0.995	0.995	0.995	0.995	0.995	0.995	1	1	1	1	0.997	1	1	1	0.999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																									
0.998	0.998	0.998	0.998	0.998	0.998	0.998	1	1	1	1	0.999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																									
0.999	0.999	0.999	0.999	0.999	0.999	0.999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																									
# ys																																																																																																																																																																																																						
1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013																																																																																																																																																																				
# as																																																																																																																																																																																																						
1	2	3	4	5	6	7	8	9	10																																																																																																																																																																																													
# Stime																																																																																																																																																																																																						
0.5																																																																																																																																																																																																						
# S																																																																																																																																																																																																						
820554000	-1	-1	-1	342591000	726183000	1217178000	1754052000	872703000	739208000	757877000	725415000	1284928000	796459000	935545000	467261000	-1	123464000	-1	105801000	-1	161573000	-1	389007000	307091000	162802000	87959000	-1000	76532000	99631000	73743000	25960000	35714000	14568000	68547000																																																																																																																																																																				
# WeightS																																																																																																																																																																																																						
